dataset_size_label,rows_per_version,mode,upload_bytes,upload_time_s,upload_throughput_mb_s,download_bytes,download_time_s,download_throughput_mb_s,listing_time_s,object_count,total_stored_bytes,query_time_s,rows_loaded
S,10000,v1,421845,1.5639691000105813,0.26972719601502737,421845,1.442976100021042,0.2923437193407767,0.0063313000136986375,1,209621,1.682407799991779,10000
S,10000,v2,421845,1.5639691000105813,0.26972719601502737,421845,1.442976100021042,0.2923437193407767,0.009145699965301901,1,211554,1.7559909000410698,10000
S,10000,mixed,421845,1.5639691000105813,0.26972719601502737,421845,1.442976100021042,0.2923437193407767,0.007326599967200309,2,421175,1.7224393999786116,20000
M,100000,v1,3379901,1.6106366000021808,2.098487641467618,3379901,1.6363896999973804,2.0654621573366114,0.017736999958287925,1,1682301,1.959645900002215,100000
M,100000,v2,3379901,1.6106366000021808,2.098487641467618,3379901,1.6363896999973804,2.0654621573366114,0.012171700014732778,1,1696930,1.7148482999764383,100000
M,100000,mixed,3379901,1.6106366000021808,2.098487641467618,3379901,1.6363896999973804,2.0654621573366114,0.0056276999530382454,2,3379231,1.9618183999555185,200000
L,1000000,v1,24905553,2.080821499985177,11.969096340160565,24905553,1.5548317999928258,16.018165437647287,0.009878300013951957,1,12382576,2.4165843999944627,1000000
L,1000000,v2,24905553,2.080821499985177,11.969096340160565,24905553,1.5548317999928258,16.018165437647287,0.008220199961215258,1,12522307,2.2116878999513574,1000000
L,1000000,mixed,24905553,2.080821499985177,11.969096340160565,24905553,1.5548317999928258,16.018165437647287,0.005407499964348972,2,24904883,2.895121100009419,2000000
